architecture,concentration_nM,k_mean,fold_repression,prob_U,prob_S,prob_W,prob_D
native_asymmetric,0.01,0.14945570533069297,1.003641846044637,0.995647429053771,0.004148530954390713,0.00020319335286811638,8.466389702838161e-07
native_asymmetric,0.010718913192051276,0.14941674876099348,1.0039035198118216,0.9953359114986516,0.0044453830134522,0.00021773304555684227,9.724423393186368e-07
native_asymmetric,0.011489510001873092,0.1493750172708247,1.0041839843140716,0.9950022052597554,0.004763369912174054,0.0002333079140656676,1.116914005072345e-06
native_asymmetric,0.012315506032928256,0.14933031516996237,1.0044845872673303,0.9946447457271024,0.005103980569426055,0.00024999088503311245,1.2828184386676534e-06
native_asymmetric,0.01320088400831418,0.1492824332596151,1.00480677280452,0.9942618603089182,0.005468806454928646,0.00026785990799650493,1.4733281566414856e-06
native_asymmetric,0.01414991297434576,0.14923114794317263,1.0051520883369478,0.9938517613269516,0.0058595483050735905,0.0002869982843301348,1.6920836446074705e-06
native_asymmetric,0.015167168884709226,0.14917622028488117,1.0055221918985857,0.9934125384963303,0.006278023226483974,0.0003074950151747247,1.94326201098386e-06
native_asymmetric,0.01625755666443794,0.14911739501439172,1.0059188600063935,0.9929421509736616,0.006726172201651343,0.0003294451690604731,2.2316556265941554e-06
native_asymmetric,0.0174263338600965,0.1490543994752125,1.0063439960720162,0.9924384189577892,0.007206068010143636,0.0003529502698845856,2.5627621829249664e-06
native_asymmetric,0.01867913599020783,0.14898694251521896,1.0067996394024767,0.9918990148286256,0.007719923577723777,0.00037811870584769446,2.9428878029043595e-06
native_asymmetric,0.020022003718155844,0.14891471331754513,1.007287974829865,0.9913214538108508,0.008270100764203538,0.00040506615987935665,3.379265066334816e-06
native_asymmetric,0.021461411978584036,0.14883738017039316,1.0078113430125941,0.9907030841510164,0.008859119598924504,0.00043391606198813827,3.880188071021762e-06
native_asymmetric,0.02300430119772918,0.14875458917457976,1.008372251453423,0.9900410767988673,0.00948966797033556,0.00046480006385316995,4.455166944000868e-06
native_asymmetric,0.024658110758226028,0.1486659628879792,1.008973386282279,0.9893324145864659,0.010164611773156777,0.0004978585358280867,5.115104549323819e-06
native_asymmetric,0.026430814869741057,0.1485710989064481,1.009617624854829,0.9885738809021408,0.010887005512994161,0.0005332410863507335,5.872498514281593e-06
native_asymmetric,0.02833096101839324,0.14846956838132958,1.0103080492208318,0.9877620478604324,0.011660103363909264,0.000571107103538412,6.741672119864245e-06
native_asymmetric,0.030367711180354574,0.14836091447424982,1.0110479605195117,0.9868932639741745,0.012487370669252127,0.0006116263184939806,7.73903807930361e-06
native_asymmetric,0.032550885998350584,0.1482446507506518,1.0118408943625272,0.9859636413407685,0.013372495869917485,0.0006549793895469783,8.883399766838701e-06
native_asymmetric,0.034891012134067735,0.14812025951437396,1.012690637268588,0.9849690423616678,0.01431940283696754,0.0007013585063004497,1.019629506402524e-05
native_asymmetric,0.03739937302478798,0.14798719008659061,1.0136012442173652,0.9839050660222447,0.015332263577143592,0.0007509680119417256,1.1702388670121672e-05
native_asymmetric,0.04008806328898465,0.14784485703360933,1.0145770573940271,0.9827670337686994,0.016415511270019775,0.0008040250417968863,1.3429919483950884e-05
native_asymmetric,0.04297004704320839,0.14769263834937793,1.0156227261995538,0.9815499750296431,0.01757385358428491,0.0008607601755568112,1.5411210515248495e-05
native_asymmetric,0.04605922041145106,0.1475298736001184,1.016743228605868,0.9802486124425845,0.018812286207713403,0.0009214180999696345,1.7683249732334076e-05
native_asymmetric,0.049370478528390035,0.14735586204029544,1.0179438939387528,0.9788573468599914,0.020136106510628367,0.0009862582780715927,2.0288351308741842e-05
native_asymmetric,0.05291978735958442,0.14716986071115928,1.0192304271755428,0.9773702422259788,0.021550927245910203,0.0010555556202078453,2.3274907903172267e-05
native_asymmetric,0.05672426068491978,0.14697108253541025,1.020608934848527,0.9757810104332578,0.023062690169671055,0.0011296011511675605,2.669824590367249e-05
native_asymmetric,0.06080224261649421,0.14675869442411824,1.0220859526490111,0.9740829962908383,0.024677679445448884,0.0012087026667158614,3.062159699702558e-05
native_asymmetric,0.06517339604882423,0.14653181541493737,1.0236684748308187,0.9722691627563721,0.02640253467099161,0.0012931853716404043,3.511720099602746e-05
native_asymmetric,0.0698587974678525,0.14628951486387906,1.0253639855158005,0.9703320766130074,0.02824426334027868,0.0013833924901360969,4.0267556577902276e-05
native_asymmetric,0.07488103857590023,0.1460308107164814,1.027180492007435,0.968263894799398,0.03021025252421879,0.0014796858379209185,4.616683846232049e-05
native_asymmetric,0.08026433522257174,0.14575466788813207,1.0291265602219084,0.9660563516330977,0.032308279521405726,0.0015824463439055854,5.2922501591237864e-05
native_asymmetric,0.086034644166845,0.14545999678758725,1.0312113523489377,0.9637007472020516,0.03454652119535471,0.0016920745075275755,6.0657095066218446e-05
native_asymmetric,0.09221978823334327,0.14514565202236057,1.0334446668570656,0.9611879372362225,0.03693356167682022,0.0018089907760075188,6.95103109497851e-05
native_asymmetric,0.09884959046625587,0.14481043132963461,1.0358369809599715,0.958508324811451,0.03947839806921203,0.001933635823798137,7.9641295538886e-05
native_asymmetric,0.10595601792776159,0.14445307478163677,1.0383994956614684,0.9556518542802502,0.0421904437520071,0.0020664707143840185,9.123125335852799e-05
native_asymmetric,0.11357333583431052,0.14407226431998368,1.0411441834970458,0.9526080078690129,0.04507952883173378,0.002207976922370631,0.00010448637688283611
native_asymmetric,0.12173827277396614,0.14366662367926797,1.044083839088967,0.9493658054275691,0.048155897243090634,0.0023586561914983135,0.00011964113784192707
native_asymmetric,0.13049019780144022,0.14323471876606247,1.0472321326297076,0.9459138078645254,0.051430199954731436,0.0025190302018643926,0.0001369619788787858
native_asymmetric,0.1398713102647238,0.1427750585654208,1.050603666404862,0.9422401248493725,0.05491348368611624,0.0026896400172791595,0.0001567514472321959
native_asymmetric,0.14992684327860456,0.14228609665273978,1.054214034461052,0.9383324274089107,0.05861717449473688,0.002871045281374864,0.00017935281497769397
native_asymmetric,0.16070528182616384,0.14176623339431804,1.0580798855167437,0.9341779660895909,0.06255305554842516,0.0030638231289024515,0.00020515523308157764
native_asymmetric,0.17225859653987866,0.141213818924895,1.0622189892037261,0.9297635953972246,0.06673323835708228,0.003268566776673415,0.00023459946901943158
native_asymmetric,0.18464249428955434,0.14062715699461936,1.06665030571399,0.9250758052590484,0.07117012670414546,0.003485883756937732,0.00026818427986851034
native_asymmetric,0.19791668678535562,0.14000450978096965,1.0713940589104438,0.9201007602779054,0.07587637249287066,0.0037163937547528437,0.000306473474471028
native_asymmetric,0.21214517849106299,0.13934410376278802,1.0764718129397997,0.9148243475615159,0.08086482270892006,0.003960726010232813,0.00035010371933126425
native_asymmetric,0.22739657523579276,0.13864413675338588,1.0819065523615572,0.9092322339082254,0.08614845670196654,0.0042195162466269285,0.00039979314318114485
native_asymmetric,0.24374441501222205,0.1379027861872061,1.0877227657777098,0.9033099331107545,0.09174031300867111,0.004493403086138987,0.00045635079443544186
