generation,mean_fitness,best_fitness,mean_Kd_ratio,std_Kd_ratio,best_Kd_ratio,mean_cv,best_cv,mean_persister,diversity
0,0.8282192599999999,2.304785,27.049317956191906,51.05436888596782,1.370994307572185,0.12810559556857753,0.06930087589707686,0.037399999999999996,1.4135480964540887
1,1.43864042,2.5710649999999995,31.08448046838585,41.913915961634856,30.95465792033265,0.09439542850817531,0.06615827459341854,0.0,1.6012346781928288
2,1.92834012,2.7618009999999997,50.3538283308218,68.59124506881972,1.9312142555327454,0.07772592451992803,0.06677959747928386,0.0,1.8207857732170183
3,2.35433618,2.795289,41.81327293975427,81.73601646058286,12.961011890170557,0.06906565937970427,0.0614701475505244,0.0,1.5251511807276172
4,2.57455898,2.793532,41.72576611277337,62.60035395216779,184.80533789845632,0.06613656681617895,0.06818539124539735,0.0,1.6561360702879078
5,2.6187588,2.8083020000000003,48.30575050082135,68.00424888823845,39.12091833687668,0.06487680279629518,0.0655662308578599,0.0,1.752339817209737
6,2.6893781599999986,2.79713,73.13196515249348,89.7232605100071,4.503510594863336,0.06431140587547425,0.06793175657243122,0.0,1.6942323507936425
7,2.6663386399999998,2.8179759999999994,89.11436774910797,103.98961553710203,273.9691683878626,0.06448106034350248,0.05939772881359972,0.0,1.6670982136271453
8,2.68091656,2.807798,112.38573127879708,108.31105489535798,273.9691683878626,0.0645536549065009,0.062273881917337494,0.0,1.272246091522104
9,2.68386874,2.817528,107.68936979276201,94.58204846931179,449.5985414581311,0.06445494785553726,0.05965519403064054,0.0,1.017499578582719
10,2.6903799999999993,2.8208599999999997,176.22082721746693,194.1551506829502,449.5985414581311,0.0632138470240729,0.06034032422554762,0.0,1.1559753713558059
11,2.7039742799999997,2.822554,237.79943798321034,220.77631541461926,1038.4421016735764,0.06328937299533481,0.05825812228365661,0.0,1.3374885372960617
12,2.7091724800000003,2.8325429999999994,411.89853358049675,485.91192350377344,1038.4421016735764,0.06427263187133422,0.06190163690522089,0.0,1.2682352133820451
13,2.7016660999999997,2.835616,741.99872457973,865.1663749975287,4169.227580642106,0.0639871644879696,0.06986474323953011,0.0,1.1610472689063025
14,2.7201077400000004,2.8110039999999996,1025.5679052705505,1165.310873268301,431.71729669545743,0.063476148075868,0.06405237735765282,0.0,1.2431700060062374
15,2.730324799999999,2.8309539999999997,1426.613835779018,1204.055076003458,1439.687714020219,0.06291183682870967,0.06102936336412255,0.0,0.9951077679461001
16,2.6999305199999997,2.83472,1543.720145095325,1365.1215914911065,415.2874548822425,0.06332655691878016,0.0627826866630942,0.0,1.0039681475349629
17,2.7205686200000003,2.8300089999999996,1801.946769646141,1648.4170084637842,477.23219692876955,0.06381756963578211,0.06148826700102042,0.0,0.9990172238127094
18,2.7355557600000004,2.839144,1471.4280949258773,1488.0848050305624,745.1427132272527,0.06350191465239542,0.06411909141955169,0.0,0.9827975027331948
19,2.73732256,2.829288,1342.2298672627935,1414.6106053589554,271.56514524836143,0.06280617820323478,0.059402376766403094,0.0,1.0088405706379566
20,2.7107155600000006,2.833334,1224.3667618989466,1246.4064743537542,485.89455250155805,0.06249724253796542,0.062463073019188,0.0,0.9585412873002612
21,2.70828754,2.838129,1349.992517331506,1690.737133793501,218.35038224436443,0.06272614691518254,0.062058056010206274,0.0,1.1924408658864523
22,2.696932,2.83227,1057.2148066667944,1512.9447868435177,2201.617349903087,0.062355385137628165,0.059240254189036716,0.0,1.1884266076244971
23,2.7085791600000007,2.8266279999999995,1111.5468619297287,1749.985173115133,205.3775342877224,0.06268875233463163,0.06235900867357658,0.0,1.128909404783155
24,2.7527905999999995,2.8388079999999998,659.1625222097832,655.8042261168343,809.0951149317411,0.06126723979204468,0.06303586870581009,0.0,0.956785576770646
25,2.7361842199999997,2.8302189999999996,678.5049190944655,639.2997683948818,1736.5937180366707,0.06233205919020925,0.06210163465581444,0.0,1.0022640925140693
26,2.7218536799999993,2.8181369999999997,802.7544816339291,747.8462958571332,364.9253752668953,0.06360353739343771,0.06145285604113019,0.0,1.0650028856597962
27,2.7172949999999996,2.8329210000000002,823.7602843768215,989.5774349307653,532.4507429533356,0.06460114461802259,0.0653746836679184,0.0,1.0047365469662515
28,2.6978032199999995,2.8303659999999997,933.0276404749819,1138.7384276504747,487.78696296991944,0.06338569221248566,0.06163076679213763,0.0,0.9860314126734386
29,2.7080578,2.8328369999999996,1058.8534704065337,1450.0866650280998,7427.26209345794,0.06372903938272914,0.06690471112404546,0.0,1.027824606461616
30,2.718177979999999,2.829442,1158.5864228620892,1347.8268643947745,2046.7821821749058,0.06358427164250863,0.06180661912709413,0.0,0.8968936537822011
31,2.742132119999999,2.8436589999999997,1459.965900685889,1503.0004647872822,1632.3461550087575,0.06324944622624608,0.06117630244193454,0.0,0.9761256540149311
