individual,Kd_strong,Kd_weak,block_strong,block_weak,Kd_ratio,fitness,mean_protein,cv,persister_fraction
0,0.5797817892780381,1000.0,0.05,0.05,1724.7868396232836,2.8105979999999997,2007.57,0.06499370967864151,0.0
1,3.873438433998734,866.3822894621378,0.05,0.05,223.6726629904713,2.808617,2006.155,0.06479664729202891,0.0
2,0.6182993689008982,1000.0,0.10534798505002985,0.07819609793597473,1617.3395126985504,2.597588,1855.42,0.06761475230976846,0.0
3,1.5783535117501406,1000.0,0.05,0.05164963290569137,633.5716254663131,2.8242479999999994,2017.32,0.06695260882780654,0.0
4,0.3986029349396203,638.8235714252783,0.06182019931003611,0.19446808327021778,1602.6564669476058,2.4332839999999996,1738.06,0.05932993102754876,0.0
5,1.1192206959400164,1000.0,0.05,0.12190485686404817,893.4788318581933,2.659055,1899.325,0.06352344216448604,0.0
6,1.5198455981370185,646.4114366129091,0.05,0.12416422451850118,425.31388544024543,2.600066,1857.19,0.05667824288488958,0.0
7,0.3169839342817473,310.74633876900396,0.05,0.05,980.322045257981,2.8128169999999995,2009.155,0.06403117970619379,0.0
8,0.5273167094247216,958.2304425526943,0.1399559716394574,0.05277522522072495,1817.182018749377,2.555308,1825.22,0.06494847239218189,0.0
9,0.20984531379004084,1000.0,0.05,0.17565426224109768,4765.414971337137,2.5437369999999997,1816.955,0.0606215365168534,0.0
10,0.9768746733027066,722.3696208812718,0.05,0.15172106885426595,739.4701087285015,2.557485,1826.775,0.06545859744919233,0.0
11,1.499341107320709,546.2568303546241,0.1166731493399222,0.052755978463378005,364.3312570351476,2.59098,1850.7,0.06308419260901374,0.0
12,0.11092707270039541,638.8235714252783,0.08421238709932546,0.09722046101700792,5758.950956460254,2.5844979999999995,1846.07,0.06263394793430513,0.0
13,1.6642567284882093,1000.0,0.05,0.0843945885395599,600.8688340460476,2.7462820000000003,1961.63,0.06257337916191666,0.0
14,2.1705873429329205,1000.0,0.11255891558462952,0.11681936382868287,460.7047964486835,2.4949399999999997,1782.1,0.06493615596256018,0.0
15,1.4340730032290512,378.8252806482423,0.05,0.05,264.16038778727085,2.8136289999999997,2009.735,0.062230530730874346,0.0
16,1.5824464334821169,692.4725833310226,0.05,0.05,437.59622359365517,2.812635,2009.025,0.06093580965040645,0.0
17,1.2783942033642384,569.831293895807,0.05,0.08361673125998978,445.73989180820104,2.7142359999999996,1938.74,0.06570575539329612,0.0
18,0.3436611274207944,890.7857863891328,0.05,0.07810607362135608,2592.0469768418525,2.753135,1966.525,0.06035086718803879,0.0
19,0.9673169954311589,559.4580287677956,0.05,0.05,578.3605905925701,2.778146,1984.39,0.0646730070675856,0.0
20,0.51201044976326,1000.0,0.05,0.05,1953.085138130234,2.8278739999999996,2019.91,0.06562094153505212,0.0
21,1.0146616676288585,437.1051238162298,0.05,0.05,430.789038121142,2.778755,1984.825,0.06300542328453661,0.0
22,0.7063358152060892,425.68685174815033,0.09491066070565274,0.05,602.6692156675457,2.640218,1885.87,0.06837759302360584,0.0
23,2.810991228827564,906.957899028188,0.06287576875324816,0.05,322.6470042763068,2.7786429999999998,1984.745,0.06243652740718258,0.0
24,2.6442389428577755,379.577798934376,0.07532171322050774,0.06539159801677462,143.54897841574984,2.699956,1928.54,0.0643934263287902,0.0
25,0.19146192871622303,479.42069545926705,0.05,0.05,2504.000135556164,2.793154,1995.11,0.06977567538255061,0.0
26,0.577726730033295,1000.0,0.15492601201612993,0.05,1730.922160971103,2.4843979999999997,1774.57,0.06801309301497674,0.0
27,0.42094025883820274,911.6761309198649,0.05,0.05052937653608152,2165.8088333867036,2.81491,2010.65,0.06112756133361125,0.0
28,0.7518700028273168,502.55267406550837,0.05,0.06072694964661847,668.4036764011324,2.771489,1979.635,0.06167773271502997,0.0
29,1.0379606388460065,1000.0,0.09766733228122078,0.05,963.4276701588503,2.673657,1909.755,0.06498266420008611,0.0
30,1.2765586639460231,844.1074987129975,0.07983004998644443,0.055545958494603254,661.2367473216954,2.714642,1939.03,0.061349946673689267,0.0
31,2.684168637193005,921.4280042765776,0.05,0.05,343.2824568132089,2.8346709999999997,2024.765,0.05675218563028555,0.0
32,3.873438433998734,339.87571490264446,0.09560073343988426,0.05,87.74522189882198,2.684122,1917.23,0.06231305083450201,0.0
33,0.6787261442936373,1000.0,0.05,0.07516928239430856,1473.3482839985754,2.792118,1994.37,0.06711657935780518,0.0
34,0.8047258836645175,869.8295472709852,0.05,0.05,1080.9016646886046,2.811228,2008.02,0.060348459163956765,0.0
35,1.802028998383298,660.6167110740673,0.05,0.05,366.59604904623836,2.8073569999999997,2005.255,0.06279905155205345,0.0
36,0.5797817892780381,717.4987823592525,0.05,0.0781010620440664,1237.5324572589693,2.7411929999999995,1957.995,0.061373559565648564,0.0
37,0.9507051733241467,1000.0,0.05,0.051385809944479326,1051.8508030239213,2.837933,2027.095,0.0638236929358228,0.0
38,1.056575006007904,377.66887243988486,0.09188169591396655,0.05,357.4463434137487,2.6655159999999998,1903.94,0.065935577365241,0.0
39,0.5263640907869821,887.3446404017336,0.05,0.05,1685.800106680984,2.813391,2009.565,0.06344336402853597,0.0
40,2.4255116078569077,811.7067405105066,0.05,0.051385809944479326,334.653826384983,2.79342,1995.3,0.06529470768825939,0.0
41,2.360697112174055,640.1669238425388,0.05,0.05,271.17706907049376,2.807609,2005.435,0.05784571913691434,0.0
42,1.2161058139349208,414.02245529232823,0.08042122532280807,0.09421377742761189,340.449367602879,2.611196,1865.14,0.07296785268403708,0.0
43,1.2020668239965833,741.2907448152274,0.1093572209439749,0.09239353077574229,616.6801462422978,2.538214,1813.01,0.06521733724758673,0.0
44,1.7083936538244495,455.4494419641883,0.05,0.05,266.5951380377752,2.8003009999999997,2000.215,0.05803463834421718,0.0
45,2.8602538113860994,1000.0,0.07221584391419786,0.08560078228763972,349.61932259969365,2.673545,1909.675,0.0691294621772262,0.0
46,0.6008523085321406,1000.0,0.06419353465105153,0.07342459813005378,1664.302501296803,2.737483,1955.345,0.06893594484164928,0.0
47,0.48996913143800486,490.9050802413362,0.06897248684894139,0.05,1001.9102199368855,2.754612,1967.58,0.06374844670308771,0.0
48,1.7494295425231818,606.6375040249627,0.05,0.05,346.7630386245887,2.794015,1995.725,0.06381230040316002,0.0
49,4.755002345240106,1000.0,0.05637928224558759,0.0800872032942821,210.30483844051702,2.746408,1961.72,0.06313294505413111,0.0
