sample_idx,omega,dG_spacer,coop_factor,Kd_strong_eff,Kd_weak_eff,Kd_sym_eff,cv_asym,cv_sym,delta_cv
0,35.78669397150469,2.1614285676385956,1.0709998438716906,2.320448342608502,47.375820328256914,10.48490075110022,0.18750572388370315,0.15573095304055176,0.03177477084315139
1,1.5469727000231575,0.3695280714012037,0.8490709519865679,2.6133094498078924,53.355067933577814,11.808187973857843,0.18604871584609264,0.15474530435253034,0.031303411493562305
2,0.32763486098373545,-1.0336613326404722,1.7546121762516664,1.883911816093474,38.46319957857509,8.512418937695628,0.18389731500863885,0.16031609827465088,0.02358121673398797
3,0.4299628963583432,-1.3740541897641378,4.001461735059701,1.4998904099184385,30.622762535834788,6.777225675208717,0.19077412069553368,0.16339972722034715,0.027374393475186526
4,0.5693229720023294,-0.5384993222025314,1.3646833107836427,2.079324888432118,42.45288313882241,9.39538910829422,0.192263044176091,0.15871210367148975,0.03355094050460125
5,0.4306341920149708,-0.4376904365628214,0.8764064926542289,2.5692276472824345,52.45506446534971,11.60900520563062,0.185285059470681,0.1519414461216696,0.0333436133490114
6,8.17234320622644,1.0622546188442672,1.4567856092721219,2.0237313660721674,41.31784872397343,9.14419085766094,0.1911563612934392,0.15841650045981048,0.0327398608336287
7,8.55357929123078,1.3522633046149675,0.9521909111735228,2.460251474697512,50.23013427507421,11.116598487149986,0.18043418010923715,0.15416600663577815,0.026268173473459
8,0.14348196021148651,-1.6757619050978732,2.1792466238751698,1.750649011843433,35.742417325136756,7.910273545911435,0.19674175658225196,0.1603016528193988,0.03644010376285317
9,0.3002473983483683,-0.8784413714451382,1.249773278721167,2.160174153529592,44.10355563456251,9.760704941782452,0.18979022837840445,0.15631006865614358,0.03348015972226087
10,1.736454945581142,0.2523791393151028,1.1527141569832116,2.241021308474723,45.75418504802559,10.126011240588316,0.18761974637501305,0.1609550183810103,0.02666472799400274
11,1.252818892636214,0.23648165383874675,0.8534047352895401,2.6061323430468994,53.20853533720753,11.77575835640535,0.18555414861733097,0.1511766211696689,0.034377527447662065
12,2.8472091492793368,0.7617898754045556,0.8266343372037209,2.6516696754447358,54.13825587366336,11.981517908080804,0.18779297081318283,0.15497376147580472,0.032819209337378114
