condition,label,Kd_strong_nM,Kd_weak_nM,mean_protein,R_nM,dwell_state0_min,dwell_state1_min,dwell_state2_min,dwell_state3_min,P_state0,P_state1,P_state2,P_state3,weighted_dwell_min,t_derepression_min,t_repression_min
A,Asymmetric (Mce3R),2.4,49.0,197.3128,327.539248,0.09140925841192334,0.1814886827921669,0.15902788311979124,1.1649852046879003,0.0009465925685101288,0.12918592418841507,0.00632747383779992,0.863540009405275,1.0305498899240666,1.3240130878076917,0.09140925841192334
B,Symmetric control,10.844353369380768,10.844353369380768,292.5758,485.675828,0.061646304045584584,0.12059980997310327,0.12059980997310327,2.76089488609026,0.00047701662024927076,0.02136369353874672,0.02136369353874672,0.9567955963022572,2.6467943899383823,2.881494696063363,0.061646304045584584
C,Single-site control,2.4,1000000000000.0,341.7675,567.3340499999999,0.05277335241993504,0.10510209021377272,5.988023948698598e-11,5.988023952081438e-11,0.00421249177337812,0.9957875076592878,2.3898900183822906e-12,5.649441596597497e-10,0.10488165577667691,1.1976047900780035e-10,0.05277335241993504
