condition,label,n_traces,corner_freq_per_min,corner_period_min,low_freq_fraction_500min,low_freq_fraction_1000min,total_power
A,Asymmetric,20,0.00013324450366422385,7505.0,0.9714235213056108,0.9385480365079408,16684940.197868088
B,Symmetric,20,0.00013324450366422385,7505.0,0.9685076299724426,0.9308962043856,23812180.463024653
C,Single-site,20,0.00013324450366422385,7505.0,0.9706289054598883,0.9402174468291622,28694268.458361097
