condition,n_cells,mean,variance,CV,Fano,bimodality_coeff,gmm_best_k,gmm_best_bic,persister_threshold,persister_fraction,fold_change_vs_D
A,50000,197.3128,1355.8887539350787,0.1866193918176862,6.871772910500884,0.3583095880211953,2,501515.6046295996,209.12877089227263,0.4118181614114118,11.271506764893104
B,50000,292.5758,2101.9033724274486,0.1566996304606014,7.184132701431385,0.3507757929381402,2,524004.8462859139,,0.02926,7.601491852709622
C,50000,341.7675,2609.3823113962276,0.1494645143831318,7.634963275900218,0.3443502976432143,2,534867.3195757929,,0.19664,6.507384581623473
D,50000,2224.01256,17276.231446875343,0.0590999714687578,7.7680458094514275,0.3343295299243031,1,629768.920561845,,1.0,1.0
