parameter,base_value,test_value,fold_change,n_cells,mean,CV,n_modes
k_max,0.15,0.075,0.5,1000,109.221,0.23679871588480758,2
k_max,0.15,0.09166666666666666,0.611111111111111,1000,130.995,0.2160355216345141,2
k_max,0.15,0.10833333333333332,0.7222222222222222,1000,150.518,0.21843454717758232,2
k_max,0.15,0.12499999999999999,0.8333333333333333,1000,169.522,0.20050692409197068,2
k_max,0.15,0.14166666666666666,0.9444444444444444,1000,187.503,0.19143466272526374,2
k_max,0.15,0.15833333333333333,1.0555555555555556,1000,206.258,0.1863977835607526,2
k_max,0.15,0.175,1.1666666666666667,1000,227.224,0.1708362548846361,2
k_max,0.15,0.19166666666666665,1.2777777777777777,1000,243.425,0.16024289480735798,1
k_max,0.15,0.20833333333333331,1.3888888888888888,1000,262.353,0.16480862757744433,2
k_max,0.15,0.22499999999999998,1.5,1000,280.498,0.1608734262532617,1
k_translation,0.5,0.25,0.5,1000,109.299,0.1877660419048237,1
k_translation,0.5,0.3055555555555556,0.6111111111111112,1000,128.926,0.1840045448641306,2
k_translation,0.5,0.3611111111111111,0.7222222222222222,1000,148.912,0.1876871648584285,1
k_translation,0.5,0.41666666666666663,0.8333333333333333,1000,166.735,0.18555561945440416,1
k_translation,0.5,0.4722222222222222,0.9444444444444444,1000,189.166,0.18436090337316835,2
k_translation,0.5,0.5277777777777778,1.0555555555555556,1000,207.157,0.18280728879632735,1
k_translation,0.5,0.5833333333333333,1.1666666666666665,1000,227.391,0.1900498208157382,1
k_translation,0.5,0.6388888888888888,1.2777777777777777,1000,240.945,0.17925470286600395,1
k_translation,0.5,0.6944444444444444,1.3888888888888888,1000,263.685,0.18566024379341747,2
k_translation,0.5,0.75,1.5,1000,283.498,0.192861594382398,2
t_half_mRNA,9.5,4.75,0.5,1000,109.338,0.18172536518981494,1
t_half_mRNA,9.5,5.805555555555555,0.611111111111111,1000,129.646,0.18774288060262656,2
t_half_mRNA,9.5,6.861111111111111,0.7222222222222222,1000,148.198,0.18842925190182813,2
t_half_mRNA,9.5,7.916666666666667,0.8333333333333334,1000,168.915,0.1894541890655082,2
t_half_mRNA,9.5,8.972222222222221,0.9444444444444443,1000,187.256,0.18251024765311963,2
t_half_mRNA,9.5,10.027777777777779,1.0555555555555556,1000,207.212,0.18804562278634507,2
t_half_mRNA,9.5,11.083333333333334,1.1666666666666667,1000,226.675,0.19278445630273366,2
t_half_mRNA,9.5,12.13888888888889,1.277777777777778,1000,247.371,0.1885457973102793,2
t_half_mRNA,9.5,13.194444444444445,1.3888888888888888,1000,263.112,0.18777730269625612,2
t_half_mRNA,9.5,14.25,1.5,1000,278.84,0.19210927627275148,2
t_half_protein,1500.0,750.0,0.5,1000,111.599,0.24870755278351447,2
t_half_protein,1500.0,916.6666666666666,0.611111111111111,1000,127.713,0.21539079669589942,2
t_half_protein,1500.0,1083.3333333333333,0.7222222222222222,1000,148.652,0.20849881370935827,2
t_half_protein,1500.0,1250.0,0.8333333333333334,1000,168.098,0.2020611347708093,2
t_half_protein,1500.0,1416.6666666666665,0.9444444444444443,1000,187.821,0.18597266804938625,1
t_half_protein,1500.0,1583.3333333333333,1.0555555555555556,1000,206.529,0.18000705154111693,2
t_half_protein,1500.0,1750.0,1.1666666666666667,1000,227.661,0.17344638009048002,1
t_half_protein,1500.0,1916.6666666666665,1.2777777777777777,1000,244.923,0.16594343110057946,1
t_half_protein,1500.0,2083.333333333333,1.3888888888888886,1000,264.412,0.15891214944050716,1
t_half_protein,1500.0,2250.0,1.5,1000,283.309,0.1660908349816012,1
block_strong,0.85,0.425,0.5,1000,667.542,0.10610998321774703,1
block_strong,0.85,0.48777777777777775,0.5738562091503268,1000,595.698,0.10958812196764744,1
block_strong,0.85,0.5505555555555555,0.6477124183006535,1000,524.091,0.11532813095835125,1
block_strong,0.85,0.6133333333333333,0.7215686274509804,1000,459.269,0.13083478749933167,1
