condition,label,n_traces,dt_min,tau_c_mean_acf_min,tau_c_mean_acf_hr,tau_c_median_cells_min,tau_c_std_cells_min,tau_int_mean_acf_min,tau_int_median_cells_min
A,Asymmetric (Mce3R),20,10.0,1123.9432528335788,18.732387547226313,1085.7429437747744,662.4167942559615,950.7654606270864,1017.435863778637
B,Symmetric control,20,10.0,1001.8752422667435,16.697920704445725,1000.4360386942229,549.0744049860974,862.2280371015587,866.6352925517515
C,Single-site control,20,10.0,1207.931047314218,20.13218412190363,1348.9467050134886,694.4350008243164,1024.8319056162813,1168.095339751716
