generation,mean_fitness,best_fitness,mean_Kd_ratio,std_Kd_ratio,best_Kd_ratio,mean_cv,best_cv,mean_persister,diversity
0,1.046721,3.1545799999999997,24.756269775542716,46.864755029542714,1.7688654651377447,0.14003768674066,0.06695547261053846,0.07769999999999999,1.4026311570270957
1,1.6305002,3.1306100000000003,32.506099518605744,45.54727031000546,1.7688654651377447,0.10372639276630446,0.07265056087844456,0.0,1.499676078271439
2,2.2037254,3.2834899999999996,35.55793854489274,50.32551018606008,53.17344956321364,0.0847039393620443,0.06710953425634927,0.0,1.3894528700789797
3,2.5952978,3.5169099999999998,32.8998788496927,41.05444935279911,1.609783200712725,0.07862269622084504,0.06664260656797788,0.0,1.3835909247589189
4,3.0242679999999997,3.8085999999999998,44.47531910171446,80.68120804699295,333.83207276574007,0.07245394258619381,0.06099722499041151,0.0,1.638831181149916
5,3.3423006,3.9676199999999997,32.55955474790679,68.15813326036971,247.75423177242078,0.06999588616077201,0.06320480955221208,0.0,1.5925025657580325
6,3.5462356,4.03442,94.17939089312314,129.59358001728165,258.4964234433597,0.06704421556327039,0.06655084898989447,0.0,1.9711607559716307
7,3.6955968,4.03109,142.3375936329706,200.93778701562798,258.4964234433597,0.0650095454059676,0.06470723344172123,0.0,1.8295812883265412
8,3.822677999999999,4.01881,288.70939327298277,268.9525725011894,494.3733159425363,0.06447134386386084,0.0657857297642285,0.0,1.2513846481884794
9,3.851319,4.00722,315.0611979187627,302.7957649065821,365.8917546207752,0.06394699004110632,0.06045339945990987,0.0,1.2635453881275058
10,3.8164562,4.0197199999999995,343.2085458493832,276.5726126782554,459.020721206389,0.06369021903560364,0.059851716313388086,0.0,1.0834838175249324
11,3.855587,4.0283,320.48080822826716,251.55257400660875,51.38846527975543,0.06431131207029969,0.06386091613696217,0.0,1.0526481978225135
12,3.849021,4.02619,348.8729321102882,338.22128893922593,146.8489007621868,0.06301756425594274,0.06505174638786022,0.0,1.2462602520483137
13,3.8494163999999995,4.02415,580.1634119587292,931.9755923632947,1342.764918375791,0.06449604639891744,0.06110834789133024,0.0,1.5478963380505446
14,3.8659479999999995,4.04948,749.8536609714627,723.7602111717681,2686.644826483859,0.06257907159885055,0.06266736057343766,0.0,1.211785626190676
15,3.8854103999999996,4.0753699999999995,931.1062447179481,962.7613146266859,124.88257744317616,0.06333638443119476,0.05745377462291929,0.0,1.211537150570731
16,3.8613443999999997,4.03777,1117.630606361834,1390.7393268708454,2178.6061891828826,0.06352019263043414,0.05955906054011702,0.0,1.139261415974016
17,3.8651249999999995,4.04395,1489.833488077914,1860.6790294006446,2178.6061891828826,0.06280226449633608,0.0606702598656094,0.0,1.237861695351163
18,3.8563441999999997,4.04208,1477.832512114033,1337.5885120862588,147.43498856225924,0.06338994803005311,0.061553757595931846,0.0,1.1962339923212844
19,3.8762838000000004,4.05756,1919.444547442306,1621.1524402605382,3839.6733064141777,0.06322559672511947,0.0629279530295623,0.0,1.302524354327688
20,3.8783999999999996,4.04583,2095.7658367549984,1727.5500431343412,6578.293953010627,0.06485559864002012,0.06700124257342505,0.0,1.5103940464108214
21,3.8718582,4.04658,2756.2584979160415,1758.784706660461,1997.2582742145455,0.06389996172371358,0.06402312662190975,0.0,1.0524130474166917
22,3.9183904000000003,4.03739,3238.8725055252935,2069.745714479552,7417.893704869374,0.06214827751530797,0.058431285568853346,0.0,0.8412048206206781
23,3.9009278,4.04145,3489.984043824555,2084.479103213017,3088.054041376482,0.06424486518081568,0.06181706336293835,0.0,0.7449627344666467
24,3.8930465999999995,4.06158,3871.2074709573735,2219.052678556007,3315.6290698086646,0.06471342403225042,0.0665202591103594,0.0,0.5566361321919658
25,3.8861952000000004,4.05947,4454.392666628013,2315.2197215502265,5883.813057416393,0.06342330536852281,0.06302911328364594,0.0,0.535844502809947
26,3.843611,4.03773,3839.8829844794836,1783.983524126863,5883.813057416393,0.06330781350079141,0.05897462839516816,0.0,0.4936365123706039
27,3.8624916,4.04787,3863.678559693697,2355.6865644946383,2267.247714159711,0.0645225713645501,0.0639333678744196,0.0,0.6517470062694304
28,3.8607664,4.04293,3826.0298703579865,2423.3634180187496,4410.592634270417,0.06370462340889671,0.0679474757878728,0.0,0.7272361724339826
29,3.8498951999999997,4.03475,3142.375072190579,2103.4627828307043,1595.6534962629448,0.06311072425492473,0.06087796346943481,0.0,0.7584510191375243
30,3.8768550000000004,4.04776,3352.2214115365696,2240.9956922292777,6116.514610307307,0.06314372158644758,0.06001576307273971,0.0,0.7788798595476099
31,3.8707815999999995,4.04957,3593.336311718975,2255.537157573578,4110.351354134807,0.06252225214280642,0.05767181263444068,0.0,0.7893275652672901
32,3.861028,4.0704,4167.390404124421,2560.5321427288327,4977.151079768512,0.06334980654334658,0.06386873932461523,0.0,0.7828442686629388
33,3.8580071999999994,4.04945,4685.444122748683,2388.887591205085,5235.230607240335,0.06303419266395124,0.062498336516659314,0.0,0.7531854253692642
34,3.8975707999999996,4.05542,4473.776904273682,1937.5137278970328,5235.230607240335,0.06322643804442256,0.05957167893483993,0.0,0.5519574644135297
35,3.8624594,4.0448699999999995,4456.846613473766,1991.2925720358744,5235.230607240335,0.06340159332921941,0.06321245805789542,0.0,0.5220227401971742
36,3.8932486000000006,4.0455,4719.888902904225,2155.220373969239,6230.36729484423,0.06376570010684068,0.0674686977534358,0.0,0.5317991520742865
37,3.8800534000000004,4.03318,5329.55131586603,2247.8749516950234,6230.36729484423,0.06428700397458789,0.06216374632515167,0.0,0.5402422082123065
38,3.896772,4.05738,4214.332601895157,2146.1635945586286,893.0815213621678,0.06254599337257974,0.06476962477767537,0.0,0.6270994953504619
39,3.8604505999999996,4.03878,4852.285172813351,2527.2300086097025,4356.797822806189,0.06261558602236586,0.06402606164632921,0.0,0.6719075700086268
40,3.9034058,4.05777,4873.689720975829,3041.928465123313,9855.258949187591,0.06299314860224581,0.06449504321113719,0.0,0.8699948951717891
41,3.9194448,4.0541,5346.568525819695,3352.692084519423,3343.168415349141,0.06180336932536059,0.05763684842052416,0.0,0.9096032983384037
42,3.8931104,4.03556,4379.482846833332,3478.10007517262,3392.9100977989647,0.06280621752340884,0.06126413566591174,0.0,1.1184494916611682
