prob_entering_low,mean_dwell_min,median_dwell_min,max_dwell_min,tail_gt_2hr,tail_gt_6hr,tail_gt_12hr,n_excursions,frac_time_in_low,architecture,threshold_type,threshold_value,survival_hardthresh_6hr,survival_hazard_6hr,survival_dwell_6hr,survival_hardthresh_12hr,survival_hazard_12hr,survival_dwell_12hr,survival_hardthresh_24hr,survival_hazard_24hr,survival_dwell_24hr
1.0,715.1016175860639,160.0,15010.0,0.545002073828287,0.3425964330153463,0.23558689340522604,2411,0.5743204530313124,wt_asymmetric,low,200.8836774515499,0.54,0.755,1.0,0.55,0.59,0.995,0.515,0.425,0.985
0.015,115.0,65.0,410.0,0.16666666666666666,0.16666666666666666,0.0,6,0.00022984676882078614,wt_asymmetric,very_low,100.44183872577494,0.0,0.545,0.005,0.0,0.31,0.005,0.0,0.09,0.0
0.36,187.2049689440994,80.0,2210.0,0.37888198757763975,0.13043478260869565,0.062111801242236024,161,0.010039973351099267,symmetric_equal,low,200.8836774515499,0.005,0.56,0.165,0.0,0.315,0.075,0.005,0.095,0.05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,symmetric_equal,very_low,100.44183872577494,0.0,0.545,0.0,0.0,0.31,0.0,0.0,0.09,0.0
0.975,401.82079540009585,110.0,6170.0,0.47771921418303787,0.2644944896981313,0.14470531863919503,2087,0.2793471019320453,asymmetric_mean_matched,low,200.8836774515499,0.31,0.655,0.94,0.31,0.52,0.875,0.32,0.265,0.775
0.01,196.66666666666666,120.0,460.0,0.3333333333333333,0.3333333333333333,0.0,3,0.00019653564290473017,asymmetric_mean_matched,very_low,100.44183872577494,0.0,0.545,0.005,0.0,0.31,0.005,0.0,0.09,0.0
1.0,15010.0,15010.0,15010.0,1.0,1.0,1.0,200,1.0,symmetric_variance_matched,low,200.8836774515499,1.0,0.965,1.0,1.0,0.925,1.0,1.0,0.865,1.0
1.0,12358.388429752065,15010.0,15010.0,0.9710743801652892,0.9421487603305785,0.9338842975206612,242,0.9962458361092605,symmetric_variance_matched,very_low,100.44183872577494,1.0,0.965,1.0,1.0,0.925,1.0,1.0,0.865,1.0
